Year,Month,Date,ISO,ISO_Name,Region,Demand_MWh,Total_Generation_MWh,Generation_Coal_MWh,Generation_Natural_Gas_MWh,Generation_Nuclear_MWh,Generation_Wind_MWh,Generation_Solar_MWh,Generation_Hydro_MWh,Generation_Biomass_MWh,Generation_Other_MWh,Mix_Coal_%,Mix_Natural_Gas_%,Mix_Nuclear_%,Mix_Wind_%,Mix_Solar_%,Mix_Hydro_%,Mix_Biomass_%,Mix_Other_%
2016,2,2016-02-01,MISO,Midcontinent ISO,Midwest,121602169.57,109023072.4,40802964.3,30668235.39,16104293.94,8815166.06,1050768.22,7982782.5,2240369.58,1358492.41,37.43,28.13,14.77,8.09,0.96,7.32,2.05,1.25
2016,2,2016-02-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,126378057.34,143371765.44,44148578.39,31798238.44,41511750.35,8662442.44,1258483.81,12023531.24,2679215.64,1289525.14,30.79,22.18,28.95,6.04,0.88,8.39,1.87,0.9
2016,2,2016-02-01,SPP,Southwest Power Pool,South-Central,89698755.29,84992149.36,33063911.0,22347132.81,11907361.79,11468735.7,1831479.18,1661646.59,1740792.36,971089.9,38.9,26.29,14.01,13.49,2.15,1.96,2.05,1.14
2016,2,2016-02-01,WECC,Western Electricity Coordinating Council,Western,129731674.17,128630517.66,49460177.37,31745235.54,15660373.43,9217409.59,2927617.55,15669225.89,2592940.39,1357537.91,38.45,24.68,12.17,7.17,2.28,12.18,2.02,1.06
2016,2,2016-02-01,NY_ISO,New York ISO,Northeast,21658731.01,23555229.6,8638375.4,5936608.22,2593665.05,1964824.85,208720.99,3631530.17,382549.02,198955.9,36.67,25.2,11.01,8.34,0.89,15.42,1.62,0.84
2016,2,2016-02-01,ISO_NE,ISO New England,Northeast,23594087.73,26174183.76,8241138.63,5133615.41,7660430.15,1775926.23,242153.74,2434774.54,445223.46,240921.61,31.49,19.61,29.27,6.79,0.93,9.3,1.7,0.92
2016,3,2016-03-01,CAISO,California ISO,Western,48735966.96,49460830.71,15991831.66,10845024.86,6664113.95,4363383.96,1068362.57,9004165.97,1076243.53,447704.21,32.33,21.93,13.47,8.82,2.16,18.2,2.18,0.91
2016,3,2016-03-01,ERCOT,ERCOT (Texas),South,63960606.56,56759348.82,20748690.75,15901860.95,7851935.8,8672235.06,578519.08,1173469.81,1130249.15,702388.23,36.56,28.02,13.83,15.28,1.02,2.07,1.99,1.24
2016,3,2016-03-01,MISO,Midcontinent ISO,Midwest,144139234.48,136630467.93,54359218.76,32861231.07,17318288.14,12092914.32,1565082.36,13894233.99,3127170.42,1412328.88,39.79,24.05,12.68,8.85,1.15,10.17,2.29,1.03
2016,3,2016-03-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,146905050.98,174904499.46,50503721.03,42007899.22,50950839.75,13482349.49,1281146.8,12301741.91,2958935.15,1417866.11,28.88,24.02,29.13,7.71,0.73,7.03,1.69,0.81
2016,3,2016-03-01,SPP,Southwest Power Pool,South-Central,113126136.4,106297591.39,40417240.39,24542417.4,14527550.32,18125758.26,2351113.58,2654880.88,2427275.44,1251355.11,38.02,23.09,13.67,17.05,2.21,2.5,2.28,1.18
2016,3,2016-03-01,WECC,Western Electricity Coordinating Council,Western,137585655.44,133469096.41,44490464.06,29960869.63,14210569.66,11547776.92,2560917.87,26737453.07,2713916.42,1247128.77,33.33,22.45,10.65,8.65,1.92,20.03,2.03,0.93
2016,3,2016-03-01,NY_ISO,New York ISO,Northeast,23529052.31,24267245.75,7920267.3,6398889.11,2813494.99,2034123.08,205717.41,4245281.83,415456.11,234015.92,32.64,26.37,11.59,8.38,0.85,17.49,1.71,0.96
2016,3,2016-03-01,ISO_NE,ISO New England,Northeast,26899884.54,28339815.68,8726104.85,5836341.25,8576865.35,1854085.19,295191.6,2332999.73,461033.98,257193.74,30.79,20.59,30.26,6.54,1.04,8.23,1.63,0.91
2016,4,2016-04-01,CAISO,California ISO,Western,43270676.82,43265494.53,15861905.42,10429660.78,5485310.46,3487792.64,987392.53,5567118.82,972906.09,473407.78,36.66,24.11,12.68,8.06,2.28,12.87,2.25,1.09
2016,4,2016-04-01,ERCOT,ERCOT (Texas),South,61648375.95,57105268.01,20551731.7,16153362.09,6584992.81,9622235.58,695066.2,1460556.91,1393442.33,643880.38,35.99,28.29,11.53,16.85,1.22,2.56,2.44,1.13
2016,4,2016-04-01,MISO,Midcontinent ISO,Midwest,136139567.44,116534930.98,44705182.46,30114642.55,15028159.49,10838201.6,1219596.24,10772502.95,2399355.32,1457290.37,38.36,25.84,12.9,9.3,1.05,9.24,2.06,1.25
2016,4,2016-04-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,134626599.5,147727504.81,45722221.04,29919139.11,46266826.57,10490471.93,1389875.16,9705673.58,2740197.31,1493100.13,30.95,20.25,31.32,7.1,0.94,6.57,1.85,1.01
2016,4,2016-04-01,SPP,Southwest Power Pool,South-Central,104737027.95,101155790.92,37743599.13,30038291.99,11483278.64,14321156.8,2078944.17,2225531.2,2314708.42,950280.56,37.31,29.7,11.35,14.16,2.06,2.2,2.29,0.94
2016,4,2016-04-01,WECC,Western Electricity Coordinating Council,Western,130331246.0,126700635.26,41585211.84,34267344.47,15956524.49,9770987.97,2476180.84,18982254.19,2462698.82,1199432.65,32.82,27.05,12.59,7.71,1.95,14.98,1.94,0.95
2016,4,2016-04-01,NY_ISO,New York ISO,Northeast,27141441.03,26111030.68,9881234.74,6125004.49,3368844.02,2454540.62,298960.3,3112169.52,563682.83,306594.16,37.84,23.46,12.9,9.4,1.14,11.92,2.16,1.17
2016,4,2016-04-01,ISO_NE,ISO New England,Northeast,24570366.54,29131713.27,9733836.14,6382744.18,8331887.0,2036273.17,227973.42,1653331.43,551958.12,213709.81,33.41,21.91,28.6,6.99,0.78,5.68,1.89,0.73
2016,5,2016-05-01,CAISO,California ISO,Western,41274367.66,39934919.4,13491453.08,11160625.22,5134352.75,3582274.92,718322.37,4522014.05,901464.25,424412.76,33.78,27.95,12.86,8.97,1.8,11.32,2.26,1.06
2016,5,2016-05-01,ERCOT,ERCOT (Texas),South,57755902.29,54225868.42,18924703.37,15691098.6,7342039.12,8883633.92,613659.07,1146540.13,1016332.11,607862.1,34.9,28.94,13.54,16.38,1.13,2.11,1.87,1.12
2016,5,2016-05-01,MISO,Midcontinent ISO,Midwest,131202788.69,125590202.22,45768001.75,34169726.91,17886230.95,9672400.07,1488634.6,12692791.76,2501354.73,1411061.45,36.44,27.21,14.24,7.7,1.19,10.11,1.99,1.12
2016,5,2016-05-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,132066969.73,146894200.65,40868629.45,36070120.54,42180404.5,9266606.86,1479573.97,13416840.73,2338995.55,1273029.05,27.82,24.56,28.71,6.31,1.01,9.13,1.59,0.87
2016,5,2016-05-01,SPP,Southwest Power Pool,South-Central,112886479.79,104622774.56,39060488.84,30828640.83,11856088.76,15532203.13,2271584.27,2079880.65,1968793.88,1025094.21,37.33,29.47,11.33,14.85,2.17,1.99,1.88,0.98
2016,5,2016-05-01,WECC,Western Electricity Coordinating Council,Western,145745300.71,139546809.73,48249112.17,31061085.87,18301930.57,13309631.14,3233431.96,20523728.77,3350922.98,1516966.26,34.58,22.26,13.12,9.54,2.32,14.71,2.4,1.09
2016,5,2016-05-01,NY_ISO,New York ISO,Northeast,25097908.98,24699484.43,9255926.29,6393947.67,2781071.14,2190600.87,277808.77,3116980.24,435715.15,247434.31,37.47,25.89,11.26,8.87,1.12,12.62,1.76,1.0
2016,5,2016-05-01,ISO_NE,ISO New England,Northeast,22447657.1,24999579.71,8090898.41,5753144.12,6685605.88,1896602.61,249457.78,1698805.87,413575.58,211489.45,32.36,23.01,26.74,7.59,1.0,6.8,1.65,0.85
2016,6,2016-06-01,CAISO,California ISO,Western,44872185.8,45870379.01,16763051.14,10779173.93,5281228.1,3630891.69,1012970.16,7072217.27,919287.43,411559.29,36.54,23.5,11.51,7.92,2.21,15.42,2.0,0.9
2016,6,2016-06-01,ERCOT,ERCOT (Texas),South,54700321.86,49631116.9,17864341.02,11897867.3,7314591.0,9386813.83,565167.31,810372.72,1169084.55,622879.16,35.99,23.97,14.74,18.91,1.14,1.63,2.36,1.26
2016,6,2016-06-01,MISO,Midcontinent ISO,Midwest,119800041.64,100654024.46,38477047.97,26516417.78,14514822.37,8190085.26,1167336.88,7773436.71,2682305.9,1332571.58,38.23,26.34,14.42,8.14,1.16,7.72,2.66,1.32
2016,6,2016-06-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,142028860.03,164696036.75,49123925.25,38466183.99,47736798.71,12420419.54,1316128.37,11367292.5,2805403.5,1459884.88,29.83,23.36,28.98,7.54,0.8,6.9,1.7,0.89
2016,6,2016-06-01,SPP,Southwest Power Pool,South-Central,98344260.02,90630748.62,36277086.66,23176286.76,11639328.65,12913158.39,1837165.47,1670729.32,2181582.14,935411.24,40.03,25.57,12.84,14.25,2.03,1.84,2.41,1.03
2016,6,2016-06-01,WECC,Western Electricity Coordinating Council,Western,133856041.46,126171127.02,42481311.48,30009458.07,16258917.28,9849673.89,2769064.15,20780479.39,2614614.18,1407608.57,33.67,23.78,12.89,7.81,2.19,16.47,2.07,1.12
2016,6,2016-06-01,NY_ISO,New York ISO,Northeast,25170981.16,24630892.57,9315778.22,5932958.5,3123391.68,2180572.52,214025.73,3149144.03,440600.39,274421.49,37.82,24.09,12.68,8.85,0.87,12.79,1.79,1.11
2016,6,2016-06-01,ISO_NE,ISO New England,Northeast,24286350.2,28114742.58,9341480.31,5856391.35,8690547.19,1820684.51,236828.87,1417595.41,505167.84,246047.11,33.23,20.83,30.91,6.48,0.84,5.04,1.8,0.88
2016,7,2016-07-01,CAISO,California ISO,Western,56259346.04,57710569.49,20275865.39,15366823.37,6310964.08,5021151.52,1283649.76,7979708.36,959654.09,512752.92,35.13,26.63,10.94,8.7,2.22,13.83,1.66,0.89
2016,7,2016-07-01,ERCOT,ERCOT (Texas),South,77061445.34,75029709.56,30172217.53,18051442.63,9764999.5,12034569.73,883340.04,1620152.29,1749494.14,753493.7,40.21,24.06,13.01,16.04,1.18,2.16,2.33,1.0
2016,7,2016-07-01,MISO,Midcontinent ISO,Midwest,151182929.09,143644263.96,50402580.07,40167571.96,20807073.72,12489125.63,1465290.75,13599372.12,3253622.04,1459627.66,35.09,27.96,14.49,8.69,1.02,9.47,2.27,1.02
2016,7,2016-07-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,176757896.59,197126365.99,63906895.6,41295929.71,54651520.42,12281671.36,1956118.44,17803363.86,3602483.33,1628383.28,32.42,20.95,27.72,6.23,0.99,9.03,1.83,0.83
2016,7,2016-07-01,SPP,Southwest Power Pool,South-Central,117569498.85,111971559.18,43700074.74,28954040.63,12757920.56,18925222.79,2098414.75,2370213.92,2158572.43,1007099.37,39.03,25.86,11.39,16.9,1.87,2.12,1.93,0.9
2016,7,2016-07-01,WECC,Western Electricity Coordinating Council,Western,174463718.91,185926553.19,65898737.85,43267331.47,23578519.65,15025802.22,3718051.86,29312495.52,3155005.47,1970609.15,35.44,23.27,12.68,8.08,2.0,15.77,1.7,1.06
2016,7,2016-07-01,NY_ISO,New York ISO,Northeast,28937402.8,30375286.64,10253992.29,7437701.03,3425641.6,2529132.14,306793.45,5570136.79,593841.51,258047.83,33.76,24.49,11.28,8.33,1.01,18.34,1.96,0.85
2016,7,2016-07-01,ISO_NE,ISO New England,Northeast,28098152.1,34244390.94,9662287.01,7944288.5,10867937.59,2097845.74,254239.35,2583760.35,531891.37,302141.02,28.22,23.2,31.74,6.13,0.74,7.55,1.55,0.88
2016,8,2016-08-01,CAISO,California ISO,Western,43911619.32,46045607.17,17172891.18,12609310.8,4632425.17,2993000.4,833937.36,6517092.81,829749.99,457199.46,37.3,27.38,10.06,6.5,1.81,14.15,1.8,0.99
2016,8,2016-08-01,ERCOT,ERCOT (Texas),South,55675578.74,55609007.97,21893861.1,15000824.62,7141798.16,7996909.3,535463.83,1240115.69,1188704.34,611330.94,39.37,26.98,12.84,14.38,0.96,2.23,2.14,1.1
2016,8,2016-08-01,MISO,Midcontinent ISO,Midwest,143852371.21,128900555.48,48025303.55,31144647.4,16379812.31,12604809.9,1362789.82,14620515.65,3284419.06,1478257.81,37.26,24.16,12.71,9.78,1.06,11.34,2.55,1.15
2016,8,2016-08-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,145814283.07,163501561.16,44899709.61,38258285.07,52733467.64,10202493.81,1393324.76,11831228.16,2849324.91,1333727.19,27.46,23.4,32.25,6.24,0.85,7.24,1.74,0.82
2016,8,2016-08-01,SPP,Southwest Power Pool,South-Central,96605322.09,92136134.76,36323796.66,22204203.12,10038273.29,16592177.01,2147910.26,2107210.31,1896523.58,826040.53,39.42,24.1,10.9,18.01,2.33,2.29,2.06,0.9
2016,8,2016-08-01,WECC,Western Electricity Coordinating Council,Western,155591972.76,151780015.24,48100274.3,36202273.74,18035549.42,13363322.72,2912696.02,28681418.64,2760823.78,1723656.62,31.69,23.85,11.88,8.8,1.92,18.9,1.82,1.14
2016,8,2016-08-01,NY_ISO,New York ISO,Northeast,27092735.55,25860422.25,8073207.77,6234690.83,3457811.55,2437756.21,276981.42,4596689.65,504124.42,279160.4,31.22,24.11,13.37,9.43,1.07,17.77,1.95,1.08
2016,8,2016-08-01,ISO_NE,ISO New England,Northeast,24645751.56,29828816.16,9130339.18,6701263.76,9025477.79,2012830.05,217467.65,2083779.76,425991.03,231666.94,30.61,22.47,30.26,6.75,0.73,6.99,1.43,0.78
2016,9,2016-09-01,CAISO,California ISO,Western,46970891.26,48574546.83,17690841.65,12045416.02,6090277.35,3585092.55,1043476.66,6712806.0,997316.84,409319.76,36.42,24.8,12.54,7.38,2.15,13.82,2.05,0.84
2016,9,2016-09-01,ERCOT,ERCOT (Texas),South,55894435.77,49226146.18,17203347.16,14705523.32,6419456.72,7467772.83,607419.33,958968.48,1278818.85,584839.49,34.95,29.87,13.04,15.17,1.23,1.95,2.6,1.19
2016,9,2016-09-01,MISO,Midcontinent ISO,Midwest,123633085.93,115521753.76,49235661.27,27761157.9,13650036.6,11121817.43,1079764.86,9413908.86,2139748.29,1119658.56,42.62,24.03,11.82,9.63,0.93,8.15,1.85,0.97
2016,9,2016-09-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,148380437.45,172697602.96,55207475.68,42236366.76,46236205.36,10915144.79,1402251.1,12173424.49,3185559.22,1341175.55,31.97,24.46,26.77,6.32,0.81,7.05,1.84,0.78
2016,9,2016-09-01,SPP,Southwest Power Pool,South-Central,104835348.88,101576713.96,39914313.66,23295545.99,14445405.62,16389174.5,2078424.32,2334363.95,1976680.24,1142805.68,39.29,22.93,14.22,16.13,2.05,2.3,1.95,1.13
2016,9,2016-09-01,WECC,Western Electricity Coordinating Council,Western,135443110.36,132450221.19,47189638.23,33659496.52,13839617.35,12205375.74,2456732.61,18997394.95,2803427.22,1298538.58,35.63,25.41,10.45,9.22,1.85,14.34,2.12,0.98
2016,9,2016-09-01,NY_ISO,New York ISO,Northeast,25633202.93,24297153.28,8477342.73,6022122.91,2873117.88,2168996.13,264620.53,3689973.46,576307.05,224672.58,34.89,24.79,11.82,8.93,1.09,15.19,2.37,0.92
2016,9,2016-09-01,ISO_NE,ISO New England,Northeast,23105549.37,27326546.57,8725600.4,6513194.81,7310249.61,1718944.57,215255.07,2190729.96,393859.84,258712.31,31.93,23.83,26.75,6.29,0.79,8.02,1.44,0.95
2016,10,2016-10-01,CAISO,California ISO,Western,42529472.63,42885175.32,13427092.47,11358247.53,5367867.02,3132548.88,888358.36,7338149.56,977226.95,395684.56,31.31,26.49,12.52,7.3,2.07,17.11,2.28,0.92
2016,10,2016-10-01,ERCOT,ERCOT (Texas),South,54471322.7,47557142.97,16789048.72,13804508.75,5741564.65,8212421.86,564178.27,979183.1,950028.65,516208.97,35.3,29.03,12.07,17.27,1.19,2.06,2.0,1.09
2016,10,2016-10-01,MISO,Midcontinent ISO,Midwest,127018044.59,109413321.13,39583750.46,30837485.29,13879919.74,9760604.15,1172577.51,10775014.55,2272111.82,1131857.61,36.18,28.18,12.69,8.92,1.07,9.85,2.08,1.03
2016,10,2016-10-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,142639799.1,162998048.74,46357418.25,32261112.65,57222947.91,10315577.28,1382770.57,11236324.24,2658542.0,1563355.84,28.44,19.79,35.11,6.33,0.85,6.89,1.63,0.96
2016,10,2016-10-01,SPP,Southwest Power Pool,South-Central,103176139.16,103786498.28,41262961.68,29623906.23,11282466.25,14471676.29,2157215.11,1923685.48,1958516.44,1106070.8,39.76,28.54,10.87,13.94,2.08,1.85,1.89,1.07
2016,10,2016-10-01,WECC,Western Electricity Coordinating Council,Western,138071866.19,134934143.23,41706477.37,36097336.98,17946121.43,9878463.38,2950208.29,21649850.0,3150682.9,1555002.88,30.91,26.75,13.3,7.32,2.19,16.04,2.33,1.15
2016,10,2016-10-01,NY_ISO,New York ISO,Northeast,23079426.27,23151768.36,8192396.61,5703729.97,2633677.38,2005793.79,237678.52,3607100.19,510798.52,260593.37,35.39,24.64,11.38,8.66,1.03,15.58,2.21,1.13
2016,10,2016-10-01,ISO_NE,ISO New England,Northeast,23570154.68,28250053.72,8629688.88,5841585.67,9269380.14,1921635.5,237863.48,1654793.8,430889.74,264216.51,30.55,20.68,32.81,6.8,0.84,5.86,1.53,0.94
2016,11,2016-11-01,CAISO,California ISO,Western,41507938.77,39802655.52,12925101.76,9099322.47,5617762.07,3735376.06,828625.0,6326997.26,823003.44,446467.46,32.47,22.86,14.11,9.38,2.08,15.9,2.07,1.12
2016,11,2016-11-01,ERCOT,ERCOT (Texas),South,53775239.69,53110298.39,19245380.63,15001606.12,6636701.54,8746180.69,568916.01,1360350.41,956082.16,595080.83,36.24,28.25,12.5,16.47,1.07,2.56,1.8,1.12
2016,11,2016-11-01,MISO,Midcontinent ISO,Midwest,127856408.21,117058189.23,46514008.07,27969129.08,15786681.01,11134538.99,1465515.58,10269014.62,2800353.43,1118948.45,39.74,23.89,13.49,9.51,1.25,8.77,2.39,0.96
2016,11,2016-11-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,148325174.74,170746973.19,45561469.65,35988285.98,58735923.92,13396646.89,1575627.52,11188985.49,2647925.78,1652107.96,26.68,21.08,34.4,7.85,0.92,6.55,1.55,0.97
2016,11,2016-11-01,SPP,Southwest Power Pool,South-Central,94977718.02,84809639.83,30964422.13,21955300.47,9688919.93,15513129.06,1920924.5,1886719.52,1857252.62,1022971.61,36.51,25.89,11.42,18.29,2.26,2.22,2.19,1.21
2016,11,2016-11-01,WECC,Western Electricity Coordinating Council,Western,134055060.48,136754292.18,50198532.21,33360796.28,14506205.03,11348322.04,2450446.96,21173858.13,2332933.38,1383198.16,36.71,24.39,10.61,8.3,1.79,15.48,1.71,1.01
2016,11,2016-11-01,NY_ISO,New York ISO,Northeast,23217500.9,24336156.07,8592353.7,5947750.52,3201906.7,1815625.31,256796.83,3841402.93,462582.08,217738.0,35.31,24.44,13.16,7.46,1.06,15.78,1.9,0.89
2016,11,2016-11-01,ISO_NE,ISO New England,Northeast,23791292.86,25780715.3,7335171.18,6418152.63,7203005.89,2133983.55,260510.05,1777486.55,441708.65,210696.79,28.45,24.9,27.94,8.28,1.01,6.89,1.71,0.82
2016,12,2016-12-01,CAISO,California ISO,Western,42429883.62,45006787.51,16140200.08,11135135.07,4545359.99,3589602.45,737346.63,7527177.87,879388.4,452577.01,35.86,24.74,10.1,7.98,1.64,16.72,1.95,1.01
2016,12,2016-12-01,ERCOT,ERCOT (Texas),South,62058826.6,59893167.19,24943521.01,16148677.7,6918213.41,8082169.91,667302.18,1205785.29,1305354.82,622142.87,41.65,26.96,11.55,13.49,1.11,2.01,2.18,1.04
2016,12,2016-12-01,MISO,Midcontinent ISO,Midwest,134992641.85,132539463.24,54054739.04,36824946.1,14986961.6,10086169.95,1379684.25,11262080.07,2741287.93,1203594.3,40.78,27.78,11.31,7.61,1.04,8.5,2.07,0.91
2016,12,2016-12-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,134135203.68,161301374.33,40714377.99,36656129.51,53973668.73,11608423.7,1221509.35,12712485.02,2902480.1,1512299.93,25.24,22.73,33.46,7.2,0.76,7.88,1.8,0.94
2016,12,2016-12-01,SPP,Southwest Power Pool,South-Central,94211728.06,95218990.51,37830278.02,22357011.14,12923166.86,15263211.25,1764036.48,2164423.55,1913589.93,1003273.27,39.73,23.48,13.57,16.03,1.85,2.27,2.01,1.05
2016,12,2016-12-01,WECC,Western Electricity Coordinating Council,Western,144192346.55,144420581.47,54609776.62,33730450.58,16656628.7,10127844.06,2836721.13,22541327.05,2612599.22,1305234.13,37.81,23.36,11.53,7.01,1.96,15.61,1.81,0.9
2016,12,2016-12-01,NY_ISO,New York ISO,Northeast,24525102.97,23776055.53,8411449.08,5494527.81,2540796.58,2221338.73,257110.0,4064973.31,529002.01,256858.01,35.38,23.11,10.69,9.34,1.08,17.1,2.22,1.08
2016,12,2016-12-01,ISO_NE,ISO New England,Northeast,26199620.31,29974440.62,10343762.45,6562836.7,8521000.89,1847075.04,246620.03,1637059.0,519136.06,296950.44,34.51,21.89,28.43,6.16,0.82,5.46,1.73,0.99
2017,1,2017-01-01,CAISO,California ISO,Western,52237486.28,55433711.63,17373949.18,13907791.18,5665258.56,4682204.97,2483852.64,9816854.87,1021295.25,482504.98,31.34,25.09,10.22,8.45,4.48,17.71,1.84,0.87
2017,1,2017-01-01,ERCOT,ERCOT (Texas),South,77681040.95,75916423.44,27524554.13,21755126.44,9437360.77,12043157.02,1335018.05,1458540.81,1589334.59,773331.62,36.26,28.66,12.43,15.86,1.76,1.92,2.09,1.02
2017,1,2017-01-01,MISO,Midcontinent ISO,Midwest,152134967.19,144356212.08,52901045.5,37059471.13,17531638.6,15141964.76,3405199.69,13613134.78,3110142.29,1593615.32,36.65,25.67,12.14,10.49,2.36,9.43,2.15,1.1
2017,1,2017-01-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,183274345.38,225730285.06,70386494.59,45652100.42,70780617.13,18452371.98,3802444.78,11162845.47,3824196.69,1669213.99,31.18,20.22,31.36,8.17,1.68,4.95,1.69,0.74
2017,1,2017-01-01,SPP,Southwest Power Pool,South-Central,123538663.43,113240713.26,36832951.99,27343770.86,13595754.47,23091501.33,6009356.94,2618285.03,2401505.98,1347586.67,32.53,24.15,12.01,20.39,5.31,2.31,2.12,1.19
2017,1,2017-01-01,WECC,Western Electricity Coordinating Council,Western,177767913.68,183431453.51,68348068.41,41066154.43,23487630.36,13603389.67,7639234.15,24210268.01,3364723.25,1711985.22,37.26,22.39,12.8,7.42,4.16,13.2,1.83,0.93
2017,1,2017-01-01,NY_ISO,New York ISO,Northeast,34207274.15,34180461.18,11687682.65,8635558.02,4051760.98,2946941.37,691350.58,5183818.23,635953.59,347395.77,34.19,25.26,11.85,8.62,2.02,15.17,1.86,1.02
2017,1,2017-01-01,ISO_NE,ISO New England,Northeast,30238760.1,32674156.19,9012044.72,7092260.72,10757210.17,2501262.0,515445.6,1847683.78,646981.77,301267.44,27.58,21.71,32.92,7.66,1.58,5.65,1.98,0.92
2017,2,2017-02-01,CAISO,California ISO,Western,38547668.57,39227849.02,12900356.67,10169982.57,4455266.18,3543190.25,1627266.81,5268736.54,822906.37,440143.63,32.89,25.93,11.36,9.03,4.15,13.43,2.1,1.12
2017,2,2017-02-01,ERCOT,ERCOT (Texas),South,52706297.72,53534145.67,19904545.17,15567620.86,6169523.92,8297669.49,1144844.73,1102204.03,898282.26,449455.21,37.18,29.08,11.52,15.5,2.14,2.06,1.68,0.84
2017,2,2017-02-01,MISO,Midcontinent ISO,Midwest,115644914.79,107342480.6,36014805.49,32044289.36,12775261.08,11034295.21,2255061.11,9708153.27,2417352.66,1093262.42,33.55,29.85,11.9,10.28,2.1,9.04,2.25,1.02
2017,2,2017-02-01,PJM,Pennsylvania-Jersey-Maryland,Northeast,137704643.32,161920088.14,43423252.1,36860363.87,51875399.92,12419331.61,3000752.41,10224138.13,2680350.79,1436499.31,26.82,22.76,32.04,7.67,1.85,6.31,1.66,0.89
2017,2,2017-02-01,SPP,Southwest Power Pool,South-Central,100769760.1,99289672.95,32581868.47,29340816.99,13308945.53,14668441.52,4258752.28,1720070.54,2305104.01,1105673.61,32.81,29.55,13.4,14.77,4.29,1.73,2.32,1.11
2017,2,2017-02-01,WECC,Western Electricity Coordinating Council,Western,134126693.08,146390893.49,50538776.5,39969288.27,17763848.75,10972042.48,5669402.31,17569331.42,2587676.53,1320527.24,34.52,27.3,12.13,7.5,3.87,12.0,1.77,0.9
2017,2,2017-02-01,NY_ISO,New York ISO,Northeast,22536465.36,23174671.56,8555429.69,5252647.84,2324868.89,2305408.76,429898.45,3635758.39,478189.58,192469.95,36.92,22.67,10.03,9.95,1.86,15.69,2.06,0.83
